sampledate,andate,read42,read230,falc_id,vol_sample,vol_met,extracted_vol,vol_met_dilu,met_time,reading_pre,reading_post,uncorchl_ugl,pheo_ugl,chl_ugl,comments
2017-08-06,2017-08-09,22.685,158,8,0.5,20.0,3.000,1.000,24.5,173.5,117.1,9484.67,6593.51,2891.16,
2017-08-06,2017-08-09,22.685,158,9,0.5,20.0,3.000,1.000,24.5,160,107.2,8746.67,6036.07,2710.59,
2017-08-06,2017-08-09,22.685,158,10,0.5,20.0,3.000,1.000,24.5,191.5,127.8,10468.67,7195.99,3272.67,
2017-08-06,2017-08-09,22.685,158,11,0.5,20.0,3.000,1.000,24.5,183,119.9,10004.00,6751.17,3252.83,
2017-08-06,2017-08-09,22.685,158,12,0.5,20.0,3.000,1.000,24.5,200.8,134.5,10977.07,7573.25,3403.82,
2017-08-06,2017-08-09,22.685,158,13,0.5,20.0,3.000,1.000,24.5,212.3,139,11605.73,7826.63,3779.11,
2017-08-06,2017-08-09,22.685,158,14,0.5,20.0,3.000,1.000,24.5,232.1,147.8,12688.13,8322.13,4366.01,
2017-08-06,2017-08-09,22.685,158,15,0.5,20.0,3.000,1.000,24.5,172.1,119,9408.13,6700.49,2707.64,
2017-08-06,2017-08-09,22.685,158,16,0.5,20.0,3.000,1.000,24.5,190.1,123,10392.13,6925.72,3466.41,
2017-08-06,2017-08-09,22.685,158,17,0.5,20.0,3.000,1.000,24.5,182,118.2,9949.33,6655.45,3293.89,
2017-08-06,2017-08-09,22.685,158,18,0.5,20.0,3.000,1.000,24.5,178.8,119.1,9774.40,6706.12,3068.28,
2017-08-06,2017-08-09,22.685,158,37,0.5,20.0,3.000,1.000,24.5,231.1,162.4,12633.47,9144.20,3489.26,
2017-08-06,2017-08-09,22.685,158,38,0.5,20.0,3.000,1.000,24.5,233.8,156.1,12781.07,8789.47,3991.60,
2017-08-06,2017-08-09,22.685,158,39,0.5,20.0,3.000,1.000,24.5,229.4,159.7,12540.53,8992.17,3548.36,
2017-08-06,2017-08-09,22.685,158,40,0.5,20.0,3.000,1.000,24.5,256.2,173.3,14005.60,9757.95,4247.65,
2017-08-06,2017-08-09,22.685,158,42,0.5,20.0,3.000,1.000,24.5,151,106.4,8254.67,5991.03,2263.64,
2017-08-06,2017-08-09,22.685,158,45,0.5,20.0,3.000,1.000,24.5,171.1,117.7,9353.47,6627.29,2726.17,
2017-08-06,2017-08-09,22.685,158,46,0.5,20.0,3.000,1.000,24.5,182.7,128.3,9987.60,7224.15,2763.45,
2017-08-06,2017-08-09,22.685,158,47,0.5,20.0,3.000,1.000,24.5,197.4,137.2,10791.20,7725.27,3065.93,
2017-08-06,2017-08-09,22.685,158,48,0.5,20.0,3.000,1.000,24.5,204.4,141.4,11173.87,7961.76,3212.10,
2017-08-06,2017-08-09,22.685,158,49,0.5,20.0,3.000,1.000,24.5,171.4,122.6,9369.87,6903.20,2466.67,
2017-08-06,2017-08-09,22.685,158,50,0.5,20.0,3.000,1.000,24.5,185.5,124.8,10140.67,7027.07,3113.59,
2017-08-06,2017-08-09,22.685,158,51,0.5,20.0,3.000,1.000,24.5,234.9,160.6,12841.20,9042.85,3798.35,
2017-08-06,2017-08-09,22.685,158,52,0.5,20.0,3.000,1.000,24.5,239.4,163.6,13087.20,9211.77,3875.43,
2017-08-06,2017-08-09,22.685,158,53,0.5,20.0,3.000,1.000,24.5,152.7,108,8347.60,6081.12,2266.48,
2017-08-06,2017-08-09,22.685,158,54,0.5,20.0,3.000,1.000,24.5,128.3,93.11,7013.73,5242.71,1771.02,
2017-08-07,2017-08-10,23.455,161.05,19,0.5,20.0,3.000,1.000,24.25,168.1,112.4,9189.47,6328.87,2860.60,
2017-08-07,2017-08-10,23.455,161.05,20,0.5,20.0,3.000,1.000,24.25,202.4,130.1,11064.53,7325.50,3739.04,
2017-08-07,2017-08-10,23.455,161.05,21,0.5,20.0,3.000,1.000,24.25,212.1,136.7,11594.80,7697.12,3897.68,
2017-08-07,2017-08-10,23.455,161.05,22,0.5,20.0,3.000,1.000,24.25,152.9,99.81,8358.53,5619.97,2738.56,
2017-08-07,2017-08-10,23.455,161.05,23,0.5,20.0,3.000,1.000,24.25,197.7,130.6,10807.60,7353.65,3453.95,
2017-08-07,2017-08-10,23.455,161.05,24,0.5,20.0,3.000,1.000,24.25,227.8,145.3,12453.07,8181.36,4271.71,
2017-08-07,2017-08-10,23.455,161.05,25,0.5,20.0,3.000,1.000,24.25,182,119.3,9949.33,6717.39,3231.95,
2017-08-07,2017-08-10,23.455,161.05,26,0.5,20.0,3.000,1.000,24.25,221.7,140,12119.60,7882.93,4236.67,
2017-08-07,2017-08-10,23.455,161.05,27,0.5,20.0,3.000,1.000,24.25,166.2,109,9085.60,6137.43,2948.17,
2017-08-07,2017-08-10,23.455,161.05,28,0.5,20.0,3.000,1.000,24.25,171.2,115.3,9358.93,6492.16,2866.77,
2017-08-07,2017-08-10,23.455,161.05,29,0.5,20.0,3.000,1.000,24.25,202.6,134.4,11075.47,7567.62,3507.85,
2017-08-07,2017-08-10,23.455,161.05,30,0.5,20.0,3.000,1.000,24.25,165.8,106,9063.73,5968.51,3095.23,
2017-08-07,2017-08-10,23.455,161.05,31,0.5,20.0,3.000,1.000,24.25,196.5,124.8,10742.00,7027.07,3714.93,
2017-08-07,2017-08-10,23.455,161.05,32,0.5,20.0,3.000,1.000,24.25,151.8,99,8298.40,5574.36,2724.04,
2017-08-07,2017-08-10,23.455,161.05,33,0.5,20.0,3.000,1.000,24.25,175.5,115.2,9594.00,6486.53,3107.47,
2017-08-07,2017-08-10,23.455,161.05,34,0.5,20.0,3.000,1.000,24.25,165.3,107.8,9036.40,6069.86,2966.54,
2017-08-07,2017-08-10,23.455,161.05,35,0.5,20.0,3.000,1.000,24.25,215.3,137.4,11769.73,7736.54,4033.20,
2017-08-07,2017-08-10,23.455,161.05,36,0.5,20.0,3.000,1.000,24.25,206.5,132.8,11288.67,7477.53,3811.14,
2017-08-07,2017-08-10,23.455,161.05,55,0.5,20.0,3.000,1.000,24.25,265.5,190.2,14514.00,10709.53,3804.47,
2017-08-07,2017-08-10,23.455,161.05,56,0.5,20.0,3.000,1.000,24.25,168.6,118.7,9216.80,6683.60,2533.20,
2017-08-07,2017-08-10,23.455,161.05,57,0.5,20.0,3.000,1.000,24.25,218.9,152.8,11966.53,8603.66,3362.87,
2017-08-07,2017-08-10,23.455,161.05,58,0.5,20.0,3.000,1.000,24.25,230.7,159,12611.60,8952.76,3658.84,
2017-08-07,2017-08-10,23.455,161.05,59,0.5,20.0,3.000,1.000,24.25,169.6,124.2,9271.47,6993.29,2278.18,
2017-08-07,2017-08-10,23.455,161.05,60,0.5,20.0,3.000,1.000,24.25,231.3,162.6,12644.40,9155.46,3488.94,
2017-08-07,2017-08-10,23.455,161.05,61,0.5,20.0,3.000,1.000,24.25,194.1,134.1,10610.80,7550.72,3060.08,
2017-08-07,2017-08-10,23.455,161.05,62,0.5,20.0,3.000,1.000,24.25,224.8,160.1,12289.07,9014.70,3274.37,
2017-08-07,2017-08-10,23.455,161.05,63,0.5,20.0,3.000,1.000,24.25,159.4,113.4,8713.87,6385.18,2328.69,
2017-08-07,2017-08-10,23.455,161.05,64,0.5,20.0,3.000,1.000,24.25,214,153.3,11698.67,8631.81,3066.85,
2017-08-07,2017-08-10,23.455,161.05,65,0.5,20.0,3.000,1.000,24.25,232.3,161.5,12699.07,9093.53,3605.54,
2017-08-07,2017-08-10,23.455,161.05,66,0.5,20.0,3.000,1.000,24.25,176.1,128.3,9626.80,7224.15,2402.65,
2017-08-07,2017-08-10,23.455,161.05,67,0.5,20.0,3.000,1.000,24.25,182.8,130.1,9993.07,7325.50,2667.57,
2017-08-07,2017-08-10,23.455,161.05,68,0.5,20.0,3.000,1.000,24.25,180,125.3,9840.00,7055.23,2784.77,
2017-08-07,2017-08-10,23.455,161.05,69,0.5,20.0,3.000,1.000,24.25,147,105.3,8036.00,5929.09,2106.91,
2017-08-07,2017-08-10,23.455,161.05,70,0.5,20.0,3.000,1.000,24.25,217.9,156.3,11911.87,8800.73,3111.13,
2017-08-07,2017-08-10,23.455,161.05,71,0.5,20.0,3.000,1.000,24.25,176.4,127.1,9643.20,7156.58,2486.62,
2017-08-07,2017-08-10,23.455,161.05,72,0.5,20.0,3.000,1.000,24.25,154.1,108.7,8424.13,6120.53,2303.60,
